,days_until_funded,funded_amount,terms_disbursal_amount,loan_amount,repayment_term,contains_old,contains_improve,contains_help,contains_buy,contains_loan,negative_sentiment,positive_sentiment,overall_positive,description_length,is_female,is_bulgaria,is_iraq,is_zambia,is_thailand,is_health,is_ed,is_arts,is_agriculture,is_food,is_housing,african,asian,north_american,south_american,european,paid,refunded,defaulted,in_repayment
12567,11,2600,21000.0,2600,19,0,0,0,1,1,4,1,0,110,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12568,0,250,10000.0,250,8,0,0,0,1,0,4,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12569,0,1325,129000.0,1325,11,1,0,1,0,1,4,7,1,145,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12570,1,375,15000.0,375,8,1,0,0,1,1,6,5,0,82,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12571,0,875,85000.0,875,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12572,0,250,10000.0,250,8,1,0,0,1,1,4,4,0,80,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12573,0,325,13000.0,325,10,0,0,0,1,1,5,2,0,59,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12574,0,200,8000.0,200,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12575,0,250,20857.5,250,14,1,0,1,0,1,3,5,1,70,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12576,0,150,6000.0,150,8,1,0,0,1,1,3,4,1,71,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
